,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
6069,T3,Independent,C1000,Preservation,Trust,100000-499999,N,162211,1
6070,T4,Independent,C1000,ProductDev,Trust,10000-24999,N,15282,1
6071,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6072,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6073,T3,Independent,C7200,Preservation,Trust,0,N,5000,0
6074,T3,Independent,C1400,Preservation,Trust,10000-24999,N,5000,1
6075,T3,Independent,C1000,Preservation,Trust,5M-10M,N,1262197,1
6076,T3,Independent,C1000,Preservation,Trust,25000-99999,N,235454,1
6077,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6078,T3,Independent,C1000,Preservation,Trust,25000-99999,N,99879,1
6079,T3,CompanySponsored,C7000,Preservation,Association,1-9999,N,5000,1
6080,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6081,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6082,T3,Independent,C2000,Preservation,Trust,1M-5M,N,487989,0
6083,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6084,T3,Independent,C1000,Preservation,Trust,100000-499999,N,45100,1
6085,T3,Independent,C1000,Preservation,Trust,25000-99999,N,137399,1
6086,T4,Independent,C3000,ProductDev,Association,0,N,5000,1
6087,T3,Independent,C2000,Preservation,Trust,10000-24999,N,5000,1
6088,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,0
6089,T3,Independent,C1000,Preservation,Trust,1-9999,N,5000,1
6090,T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,N,66898,0
6091,T3,Independent,C2000,Preservation,Trust,0,N,5000,0
6092,T6,Independent,C2000,ProductDev,Trust,25000-99999,N,8224,1
6093,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,1
6094,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,1
6095,T3,Independent,C1200,Preservation,Trust,1-9999,N,5000,1
6096,T6,Independent,C2000,ProductDev,Trust,0,N,5000,1
6097,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6098,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6099,T19,Family/Parent,C1000,ProductDev,Association,100000-499999,N,66164,0
6100,T3,Independent,C1000,Preservation,Trust,25000-99999,N,19456,1
6101,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6102,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
6103,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
6104,T3,Independent,C1200,Preservation,Trust,1-9999,N,5000,1
6105,T3,Independent,C1000,Preservation,Trust,1M-5M,N,1889982,1
6106,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6107,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6108,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6109,T3,CompanySponsored,C5000,Preservation,Association,0,N,5000,0
6110,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
6111,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6112,T3,Independent,C1200,Preservation,Trust,25000-99999,N,5000,1
6113,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6114,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6115,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6116,T3,CompanySponsored,C2100,Preservation,Trust,0,N,5000,0
6117,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6118,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6119,T3,Independent,C1000,Preservation,Trust,25000-99999,N,36950,1
6120,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6121,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6122,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6123,T6,Independent,C1000,ProductDev,Trust,0,N,5000,1
6124,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6125,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6126,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
6127,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
6128,T3,Independent,C1200,Preservation,Trust,100000-499999,N,66761,1
6129,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6130,T3,Independent,C1200,Preservation,Trust,1-9999,N,5000,1
6131,T3,Independent,C1000,Preservation,Trust,100000-499999,N,202956,0
6132,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6133,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6134,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6135,T3,Independent,C1200,Preservation,Trust,100000-499999,N,100886,0
6136,T3,Independent,C2000,Preservation,Trust,0,N,5000,0
6137,T3,Independent,C1000,Preservation,Trust,25000-99999,N,93672,1
6138,T3,Independent,C2000,Preservation,Trust,100000-499999,N,418545,1
6139,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6140,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6141,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6142,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6143,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6144,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6145,T3,Independent,C1000,Preservation,Trust,1M-5M,N,963744,1
6146,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6147,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,1
6148,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6149,T3,Independent,C1200,Preservation,Trust,25000-99999,N,11139,1
6150,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6151,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6152,T3,Independent,C1200,Preservation,Trust,1M-5M,N,1350876,1
6153,T3,Independent,C2000,Preservation,Trust,25000-99999,N,117333,0
6154,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
6155,T3,Independent,C1000,Preservation,Trust,100000-499999,N,373101,1
6156,T3,Independent,C1000,Preservation,Association,100000-499999,N,145528,0
6157,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6158,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6159,T3,Independent,C1000,Preservation,Association,0,N,5000,0
6160,T3,Independent,C1240,Preservation,Trust,25000-99999,N,634245,1
6161,T3,Independent,C1000,Preservation,Trust,25000-99999,N,169013,1
6162,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
6163,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
6164,T3,Independent,C2100,Preservation,Trust,0,N,5000,1
6165,T3,Independent,C1270,Preservation,Trust,0,N,5000,1
6166,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
6167,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6168,T3,Independent,C1000,Preservation,Trust,25000-99999,N,14072,1
6169,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6170,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6171,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6172,T3,Independent,C1000,Preservation,Trust,25000-99999,N,72053,1
6173,T8,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6174,T3,Independent,C1000,Preservation,Trust,100000-499999,N,50936,1
6175,T3,Independent,C1000,Heathcare,Trust,0,N,5000,0
6176,T3,Independent,C1400,Preservation,Trust,0,N,5000,1
6177,T3,Independent,C1200,Preservation,Trust,25000-99999,N,573624,1
6178,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6179,T3,Independent,C2000,Preservation,Trust,100000-499999,N,5924,1
6180,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6181,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6182,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
6183,T3,Independent,C1000,Preservation,Trust,100000-499999,N,5000,1
6184,T6,Independent,C1000,ProductDev,Trust,100000-499999,N,52754,0
6185,T3,Independent,C1200,Heathcare,Trust,1M-5M,N,36458138,0
6186,T6,CompanySponsored,C1000,ProductDev,Association,0,N,5000,1
6187,T3,Independent,C1000,Preservation,Trust,25000-99999,N,230372,0
6188,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6189,T6,CompanySponsored,C2000,ProductDev,Trust,0,N,5000,0
6190,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6191,T8,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
6192,T3,Independent,C7100,Preservation,Trust,0,N,5000,1
6193,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6194,T3,Independent,C2000,Heathcare,Trust,25000-99999,N,34555,1
6195,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6196,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6197,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
6198,T6,Independent,C1000,ProductDev,Trust,0,N,5000,1
6199,T3,Independent,C1200,Preservation,Trust,1-9999,N,7638,1
6200,T3,Independent,C2000,Preservation,Trust,100000-499999,N,51149,1
6201,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6202,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
6203,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
6204,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6205,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6206,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6207,T3,Independent,C1000,Preservation,Association,100000-499999,N,39765,1
6208,T3,Independent,C4000,Preservation,Trust,0,N,5000,1
6209,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6210,T3,Independent,C2000,Preservation,Trust,1M-5M,N,944191,1
6211,T3,Independent,C1000,Preservation,Trust,100000-499999,N,154616,1
6212,T3,Independent,C7100,Preservation,Trust,100000-499999,N,18260,1
6213,T3,Independent,C1200,Preservation,Trust,25000-99999,N,36965,1
6214,T4,Independent,C3000,ProductDev,Trust,0,N,5000,1
6215,T3,Independent,C1000,Preservation,Trust,100000-499999,N,32932,1
6216,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6217,T3,Independent,C1200,Preservation,Association,0,N,5000,1
6218,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6219,T3,Independent,C2700,Preservation,Trust,100000-499999,N,96438,1
6220,T3,Independent,C2100,Preservation,Trust,0,N,5000,1
6221,T6,CompanySponsored,C2000,ProductDev,Trust,0,N,5000,0
6222,T3,Independent,C1000,Preservation,Trust,100000-499999,N,95141,1
6223,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6224,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6225,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6226,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6227,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6228,T3,Independent,C1000,Preservation,Trust,25000-99999,N,519835,0
6229,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6230,T3,Independent,C1000,Preservation,Trust,25000-99999,N,373534,1
6231,T6,CompanySponsored,C2000,ProductDev,Trust,25000-99999,N,8353,1
6232,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6233,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
6234,T3,Independent,C7000,Preservation,Trust,25000-99999,N,18015,0
6235,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6236,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6237,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6238,T10,CompanySponsored,C1000,ProductDev,Trust,0,N,5000,0
6239,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6240,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
6241,T7,Independent,C1000,ProductDev,Trust,0,N,5000,1
6242,T3,Independent,C1200,Preservation,Trust,0,N,5000,0
6243,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6244,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
6245,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6246,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6247,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6248,T3,CompanySponsored,C1700,Preservation,Association,0,N,5000,0
6249,T4,CompanySponsored,C3000,Preservation,Association,0,N,5000,1
6250,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6251,T3,Independent,C2000,Preservation,Trust,0,N,5000,0
6252,T5,CompanySponsored,C3000,ProductDev,Association,1M-5M,N,3824529,0
6253,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6254,T3,Independent,C2000,Preservation,Trust,10000-24999,N,51655,1
6255,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,0
6256,T3,Independent,C1000,Preservation,Trust,25000-99999,N,1226452,1
6257,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6258,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6259,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6260,T3,Independent,C1000,Preservation,Association,0,N,5000,1
6261,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6262,T8,CompanySponsored,C1000,ProductDev,Association,100000-499999,N,124800,0
6263,T3,Independent,C1000,Preservation,Trust,100000-499999,N,21199,1
6264,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6265,T3,Independent,C3000,Preservation,Trust,0,N,5000,1
6266,T3,Independent,C1200,Preservation,Trust,100000-499999,N,185947,0
6267,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6268,T3,Independent,C1200,Preservation,Trust,10000-24999,N,5000,1
6269,T4,Independent,C1000,ProductDev,Trust,0,N,5000,1
6270,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6271,T3,Independent,C1000,Preservation,Trust,100000-499999,N,5043742,1
6272,T4,Independent,C1000,ProductDev,Trust,25000-99999,N,43744,0
6273,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6274,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6275,T4,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
6276,T3,Independent,C8000,Preservation,Trust,0,N,5000,0
6277,T3,CompanySponsored,C7000,Preservation,Trust,0,N,5000,1
6278,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6279,T3,Independent,C1000,Preservation,Trust,25000-99999,N,5611267,1
6280,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6281,T2,Independent,C1000,ProductDev,Trust,0,N,5000,1
6282,T3,Independent,C2100,Preservation,Trust,25000-99999,N,166210,1
6283,T3,Independent,C1000,Preservation,Trust,100000-499999,N,29588,0
6284,T3,CompanySponsored,C4000,Preservation,Association,0,N,5000,1
6285,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6286,T3,Independent,C1000,Preservation,Association,0,N,5000,1
6287,T3,Independent,C2000,Preservation,Trust,5M-10M,N,4810343,1
6288,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6289,T19,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
6290,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
6291,T3,Independent,C2000,Preservation,Trust,25000-99999,N,37226,1
6292,T3,Independent,C1000,Preservation,Trust,25000-99999,N,14443,0
6293,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6294,T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,N,5000,0
6295,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6296,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6297,T7,CompanySponsored,C1000,ProductDev,Trust,0,N,5000,1
6298,T3,Independent,C1000,Preservation,Trust,25000-99999,N,45528,1
6299,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6300,T3,Independent,C2000,Preservation,Trust,25000-99999,N,30105,1
6301,T3,Independent,C1000,Preservation,Trust,25000-99999,N,23708,1
6302,T3,Independent,C1200,Preservation,Trust,100000-499999,N,23882,0
6303,T3,Independent,C1200,Preservation,Trust,100000-499999,N,853223,1
6304,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6305,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6306,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6307,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6308,T3,Independent,C1000,Preservation,Trust,25000-99999,N,59716,1
6309,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
6310,T3,Independent,C1200,Preservation,Trust,25000-99999,N,6725,1
6311,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6312,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6313,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6314,T3,Independent,C1000,Preservation,Trust,100000-499999,N,5000,1
6315,T3,Independent,C4000,Preservation,Trust,25000-99999,N,7331,1
6316,T3,Independent,C1200,Preservation,Trust,1M-5M,N,3417485,0
6317,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6318,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,30769,0
6319,T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,N,9297,0
6320,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,38655,0
6321,T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,N,32636,0
6322,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6323,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6324,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6325,T3,Independent,C2000,Preservation,Trust,1M-5M,N,1091854,0
6326,T3,Independent,C1000,Preservation,Association,0,N,5000,1
6327,T3,Independent,C1000,Preservation,Trust,100000-499999,N,5000,1
6328,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6329,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6330,T3,Independent,C1200,Preservation,Trust,1-9999,N,22614,1
6331,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6332,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
6333,T3,Independent,C4000,Preservation,Trust,0,N,5000,1
6334,T6,Independent,C2000,ProductDev,Trust,0,N,5000,1
6335,T3,Independent,C1000,Preservation,Trust,25000-99999,N,56642,1
6336,T3,Independent,C1230,Preservation,Trust,0,N,5000,1
6337,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6338,T3,Independent,C1000,Preservation,Trust,0,N,466834,0
6339,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6340,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6341,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6342,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6343,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
6344,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6345,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
6346,T3,Independent,C1000,Preservation,Trust,100000-499999,N,20194,1
6347,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6348,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6349,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
6350,T3,Independent,C2100,Preservation,Trust,100000-499999,N,264696,1
6351,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6352,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
6353,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,1
6354,T3,Independent,C1000,Preservation,Trust,25000-99999,N,5388,0
6355,T3,Independent,C1000,Preservation,Trust,100000-499999,N,405872,0
6356,T3,Independent,C1000,Preservation,Trust,25000-99999,N,82193,1
6357,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6358,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6359,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6360,T3,Independent,C1000,Preservation,Trust,25000-99999,N,65337,0
6361,T3,Independent,C1000,Preservation,Trust,25000-99999,N,57760,1
6362,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6363,T4,Independent,C1000,ProductDev,Trust,0,N,5000,1
6364,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6365,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6366,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6367,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
6368,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
6369,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6370,T3,Independent,C1000,Preservation,Trust,1M-5M,N,3756790,1
6371,T3,Independent,C1000,Preservation,Trust,100000-499999,N,205988,1
6372,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6373,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6374,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6375,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6376,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6377,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6378,T6,CompanySponsored,C2000,ProductDev,Association,25000-99999,N,102375,1
6379,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6380,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6381,T3,Independent,C2000,Preservation,Trust,0,N,5000,0
6382,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6383,T3,Independent,C1000,Preservation,Trust,25000-99999,N,69040,1
6384,T3,Independent,C2000,Preservation,Trust,100000-499999,N,64597,1
6385,T3,Independent,C1000,Preservation,Trust,100000-499999,N,147490,0
6386,T3,Independent,C1000,Preservation,Trust,100000-499999,N,46982,1
6387,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6388,T7,CompanySponsored,C1000,ProductDev,Association,0,N,5000,1
6389,T7,Independent,C1000,ProductDev,Trust,0,N,5000,0
6390,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,163378,0
6391,T3,Independent,C1200,Preservation,Trust,1M-5M,N,32303,0
6392,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
6393,T6,CompanySponsored,C2000,ProductDev,Association,0,N,5000,1
6394,T3,Independent,C1000,Preservation,Trust,10000-24999,N,24145,1
6395,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
6396,T3,Independent,C1700,Preservation,Trust,100000-499999,N,28130,1
6397,T5,Independent,C3000,ProductDev,Trust,0,N,5000,0
6398,T3,CompanySponsored,C1700,Preservation,Association,0,N,5000,0
6399,T3,Independent,C7100,Preservation,Association,0,N,5000,0
6400,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6401,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,0
6402,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6403,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6404,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6405,T3,Independent,C7000,Preservation,Trust,0,N,5000,1
6406,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6407,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6408,T3,Independent,C1000,Preservation,Association,25000-99999,N,5000,1
6409,T3,Independent,C4000,Preservation,Trust,0,N,5000,1
6410,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6411,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6412,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,1
6413,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6414,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6415,T4,CompanySponsored,C1000,ProductDev,Association,0,N,5000,1
6416,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6417,T3,Independent,C2000,Preservation,Trust,10M-50M,N,14736510,0
6418,T3,CompanySponsored,C1700,Preservation,Association,0,N,5000,0
6419,T3,CompanySponsored,C1700,Preservation,Association,0,N,5000,0
6420,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
6421,T3,Independent,C1000,Preservation,Trust,1M-5M,N,415113,0
6422,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6423,T3,Independent,C1200,Preservation,Association,0,N,5000,0
6424,T3,CompanySponsored,C2100,Preservation,Trust,0,N,5000,0
6425,T3,Independent,C1000,Preservation,Trust,10000-24999,N,25632,0
6426,T3,CompanySponsored,C2000,Preservation,Association,0,N,5000,1
6427,T4,Independent,C3000,ProductDev,Trust,100000-499999,N,133124,1
6428,T3,Independent,C1000,Preservation,Trust,100000-499999,N,3610574,0
6429,T3,Independent,C2000,Preservation,Trust,5M-10M,N,31664752,0
6430,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6431,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6432,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6433,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6434,T4,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
6435,T3,Independent,C2800,Preservation,Trust,1-9999,N,40643,0
6436,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6437,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6438,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
6439,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6440,T7,Independent,C1000,ProductDev,Trust,10000-24999,N,19738,0
6441,T19,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6442,T4,Independent,C3000,ProductDev,Trust,0,N,5000,1
6443,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6444,T3,Independent,C1000,Preservation,Trust,100000-499999,N,91474,0
6445,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,1
6446,T3,Independent,C2000,Preservation,Trust,1M-5M,N,457849,1
6447,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6448,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6449,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6450,T3,CompanySponsored,C2100,Preservation,Trust,0,N,5000,0
6451,T8,CompanySponsored,C1000,ProductDev,Association,0,N,5000,0
6452,T3,Independent,C1000,Preservation,Trust,0,N,5000,0
6453,T3,CompanySponsored,C1000,Preservation,Association,0,N,5000,0
6454,T3,Independent,C1200,Preservation,Trust,25000-99999,N,287879,1
6455,T3,Independent,C1000,Preservation,Co-operative,0,N,5000,1
6456,T3,Independent,C1000,Preservation,Co-operative,1-9999,N,5064445,1
6457,T9,Independent,C2000,ProductDev,Co-operative,5M-10M,N,50121229,0
6458,T13,Independent,C1000,Preservation,Co-operative,0,N,5000,1
6459,T9,Independent,C1000,ProductDev,Co-operative,10M-50M,N,3325383,1
6460,T2,Independent,C1000,CommunityServ,Trust,0,N,5000,1
6461,T3,Independent,C1245,Preservation,Co-operative,25000-99999,N,11297,1
6462,T3,Independent,C1000,Preservation,Co-operative,10000-24999,N,344188,1
6463,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6464,T3,Independent,C1000,Preservation,Co-operative,1M-5M,N,1358049,1
6465,T9,Independent,C1000,ProductDev,Co-operative,10M-50M,N,44311553,0
6466,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6467,T3,Independent,C1000,Preservation,Co-operative,0,N,5000,1
6468,T3,Independent,C1000,Preservation,Co-operative,0,N,60000,1
6469,T3,Independent,C2000,Preservation,Co-operative,0,N,5000,1
6470,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
6471,T3,Independent,C1000,Preservation,Association,0,N,5000,1
6472,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
